esp32_id,ts,temp,hum
,2026-04-27 11:18:04,21.5,57.8
,2026-04-27 11:18:09,21.5,57.8
,2026-04-27 11:18:15,21.5,57.7
,2026-04-27 11:18:20,21.5,57.8
,2026-04-27 11:18:26,21.5,57.8
,2026-04-27 11:18:31,21.5,57.8
,2026-04-27 11:18:37,21.5,57.8
,2026-04-27 11:18:42,21.5,57.9
,2026-04-27 11:18:48,21.5,57.9
,2026-04-27 11:18:53,21.5,57.9
,2026-04-27 11:19:01,21.5,57.8
,2026-04-27 11:19:08,21.5,57.8
,2026-04-27 11:19:13,21.5,57.8
,2026-04-27 11:19:19,21.5,57.8
,2026-04-27 11:19:24,21.5,57.9
,2026-04-27 11:19:29,21.5,57.8
,2026-04-27 11:19:35,21.5,57.8
,2026-04-27 11:19:41,21.5,58.0
,2026-04-27 11:19:46,21.5,57.8
,2026-04-27 11:19:52,21.5,57.9
,2026-04-27 11:19:57,21.5,57.9
,2026-04-27 11:20:03,21.5,57.9
,2026-04-27 11:20:08,21.5,57.9
,2026-04-27 11:20:14,21.5,58.0
,2026-04-27 11:20:19,21.5,58.0
,2026-04-27 11:20:25,21.5,58.0
,2026-04-27 11:20:31,21.5,58.0
,2026-04-27 11:20:36,21.5,58.0
,2026-04-27 11:20:42,21.5,58.1
,2026-04-27 11:20:48,21.5,58.1
,2026-04-27 11:20:53,21.5,58.0
,2026-04-27 11:20:59,21.5,58.0
,2026-04-27 11:21:05,21.5,58.0
,2026-04-27 11:21:10,21.5,58.0
,2026-04-27 11:21:16,21.5,58.0
,2026-04-27 11:21:22,21.5,58.0
,2026-04-27 11:21:27,21.5,58.0
,2026-04-27 11:21:33,21.5,58.1
,2026-04-27 11:21:38,21.5,58.1
,2026-04-27 11:21:44,21.5,58.1
,2026-04-27 11:21:49,21.5,58.1
,2026-04-27 11:21:55,21.5,58.2
,2026-04-27 11:22:02,21.5,58.1
,2026-04-27 11:22:07,21.5,58.2
,2026-04-27 11:22:13,21.5,58.1
,2026-04-27 11:22:19,21.5,58.1
,2026-04-27 11:22:24,21.5,58.1
,2026-04-27 11:22:30,21.6,58.0
,2026-04-27 11:22:35,21.5,58.0
,2026-04-27 11:22:41,21.6,58.0
,2026-04-27 11:22:46,21.6,58.0
,2026-04-27 11:22:52,21.6,58.0
,2026-04-27 11:22:58,21.6,58.0
,2026-04-27 11:23:03,21.6,57.9
,2026-04-27 11:23:09,21.6,58.0
,2026-04-27 11:23:15,21.6,57.9
,2026-04-27 11:23:20,21.6,57.9
,2026-04-27 11:23:26,21.7,57.8
,2026-04-27 11:23:32,21.7,57.8
,2026-04-27 11:23:37,21.7,57.7
,2026-04-27 11:23:43,21.7,57.6
,2026-04-27 11:23:48,21.7,57.6
,2026-04-27 11:23:54,21.7,57.6
,2026-04-27 11:23:59,21.7,57.8
,2026-04-27 11:24:05,21.7,57.8
,2026-04-27 11:24:11,21.7,57.8
,2026-04-27 11:24:17,21.7,57.8
,2026-04-27 11:24:22,21.7,57.8
,2026-04-27 11:24:28,21.7,57.7
,2026-04-27 11:24:33,21.8,57.7
